,content
70,'@SoundOfYogi Jd kan apps nya nyedot phone book peminjam. Nah ketika si peminjam blm bs bayar setelah jatuh tempo
71,'@AndryWaseso Grup jebakan pinjol itu apa'
72,'Wa pernah tiba2 masuk grup jebakan pinjol. Temen gw dijelek2in. Orangnya ada d grup itu. Tp diem aja.'
73,'@SelasaPagi_ Sbnrnya mrk grup pinjol'
74,"'@rlthingy Nder sma banget coy:""(\n\nGue kalau kepepet banget ya pinjol. Dengan nominal terkecil biar pas gajian balikinnya gk susah'"
75,'@ainiparamartaa Iseng wae mba
76,'@worksfess wah veteran pinjol nih wkwk'
77,'@RianRD3 Duitnya lari ke pinjol
78,'@Sam_Ardi 🤣🤣🤣🤣🤣🤣\nDasar pinjol tak berAKHLAK....'
79,"'HARI ANTI NARKOBA INTERNASIONAL.\n\nselamat menjalani ""New normal""\nSTAY AWAY FROM DRUGS !\nSTAY AT HOME STAY SAFE.\n\n#finance #pinjol #saynotodrugs #drugs https://t.co/s6k0AXdJnV'"
80,'@alrosit Kalo udah pasti bulan depan kerja
81,'Cara transfer duit dari gopay ke rek bank kok ribet banget sih pake Selfi KTP segala udh kaya pinjol aja😓 males banget😓 @gojekindonesia'
82,'@TirtoID Lah gw di teror isat tiap hari di smsin. Kntl emang isat.\nKl yg di teror colector pinjol dpt duit jg ga?'
83,'dulu g lama follow ig bni sekuritas
84,'@jogmfs Ini biasanya temen dakjal yg pinjol tp bawa2 nmr temen buat kepentingan nagih cicilan'
85,'@randempipel Gausah ngeluh masih ada pinjol untuk bulan ini wkwk'
86,'@ardhiaphy Sek download pinjol'
87,'@intinilmiri Pinjol babad tan babad'
88,'Serem bgt kalo sociolla kebocoran data bisa2 data pemenang socobox dipake buat pinjol https://t.co/Wi79vG2tva'
89,'@sedb00i Ormas nya kita bayar dari pinjol yg ga terdaftar di ojk xixixi'
90,'@sedb00i P info\n\nPinjol ini udh terdaftar ojk? Mohon info sudah 2 bulan tidak saya bayar'
91,'@sedb00i Kita pinjol saja
92,'Ojek online Ojol\nPinjaman online Pinjol\nKontrakan online ....'
93,'@sedb00i Jauhi riba
94,'@sariputri2 @Telkomsel hee iya samaaa
95,'@discountfess LOH SEBENTAR SEBENTAR SEBENTAR. INI SOCO NGASIH CONTOH GAMBAR ORANG SELFIE SAMA KTP TANPA SENSOR?\n\nKalau KTP nya dibuat daftar pinjol gimana!? Gila nih Soco'
96,'@nugietriatmojo @cajapult Asa rek pinjol ajig 🤣'
97,'biyandry anjing macem macem pula kau pukimak. orang lg sensi ngadi2 aja di teror pake banyak nomor pinjol.\n\nBIYANDRY TEH SAHA ANYING TAH TOLONG TEROR GUYS SI BIYAN BIYAN ETA MERESAHKAN WAE PADAHAL TEUING SAHA. https://t.co/Za5wezTeoQ'
98,'@discountfess Wey
99,'@muattamu Gada kak.\nAdanya dri nomor biasa yg nawarin pinjol'
100,'@avochadoes Ngajuin pinjol.'
101,'@discountfess Gapapa Zheyenk
102,'@txtdrbekasi Kasian bgt ktpnya gitu gabisa daftar pinjol pasti😭'
103,'@18autobase Pinjem temennya jgn seorang. Coba cari 3 org
104,'@18autobase Jangan pinjol dah'
105,"@18autobase Ga ada pinjol yang aman. Sumpah nder jangan, kalo telat dikit bisa berbunga2 ujung2nya utang 300 bisa jd jutaan. Pls don't😔"
106,'admin&amp;bunga di pinjol paling kecil mana bang? https://t.co/V2NTVDCkFY'
107,'@awdakjal Aku cuman ada notif pinjol sama operator'
108,'@roses_are_ros1e Gw aja dpt sms dari pinjol mulu'
109,'Pinjol Bisa Akses Data Penduduk
110,'Tai juga nomer gua dimasukin ke kontak darurat pinjol'
111,'Dc pinjol bangsat'
112,'@dianayuestin Ndak wes kejebak pinjol maneh'
113,'Kenapa aku ga pinjol aja? Aku takut
114,'Yuukkklah generasi millenial melek finansial\nBiar gak ketipu mulu tuh sama pinjol atau biar gak keseringan makan mie diakhir bulan.\nWalaupun belum ada bisnis
115,'@kummz_ @3CareIndonesia Kemungkinan telemarketer atau orang mau tipu-tipu atau debt collector mau tagih-tagih tapi pakai provider tri kak.\n\nMisalkan orang terdekat kita ada pakai pinjol (pinjaman online)
116,'Pagi2 ada aja yang bikin gatal tangan mau bacot. \n\nPaling kenceng teriak riba
117,'@Ternoda_ Kenapa malu mbak?\nKe pegadaian kan maknanya kita masih ada aset
118,"'Keuntungan kerja di perusahaan pinjol: tahu ada istilah ""Tanda Tangan Basah""\n\nNtap.'"
119,'Bagaimana cara bloking sms pinjol dan iklan ya ? CS @Telkomsel pun tidak menolong banyak. Dengan template ... sms nomer yg dimaksud ke xxxx. \n\nKalau ada 1 sih ndak masalah .... 100 sms piye ? Melaporkan secara manual gitu ya ?'
120,'@lagisedihh @memefess ka maneh mah nyasar na pinjol mun teu debt collector'
121,'@donopradana tak gawe foto profil akun pinjol mas don😂'
122,'@susipudjiastuti jualan sukulen/kaktus gg merusak karang pak\narea semarang\norder bisa lewat\nIG : @almirasgarden\natau WA (maaf DM saja nnti saya kasih takutnya disms sales pinjol) https://t.co/SNNGmuupFT'
123,'@Husen_Jafar jualan sukulen/kaktus bib\narea semarang\norder bisa lewat\nIG : @almirasgarden\natau WA (maaf DM saja nnti saya kasih takutnya disms sales pinjol) https://t.co/SNNGmuupFT'
124,'@nobodyornoone Mau simpen nomernya
125,'@kemkominfo sms di hape isinya pinjol. kominfo tolongin dong'
126,'Warga Depok Bunuh Diri Diduga Akibat Pinjol
127,'@zakkafa @Risembolobolo Tolong mas
128,'@sabilrst cc gaada tapi ternyata pinjol 😂😂😂😂😂😂'
129,'@ariniainain @NurAkunredy @BigAlphaID pinjol kali maksudnya
130,'@mynameisedo @BigAlphaID tools untuk berhutang sekarang ada yg lebih mudah
131,'@kokokdirgantoro Untung rung nggo daftar pinjol'
132,'Kalau butuh uang sebisa mungkin hindari yang namanya pinjol. Coba cari dulu pinjaman dari orang sekitar. Yang paling penting pinjamannya buat modal usaha bukan buat konsumsi. Jadi bisa dibayar.\n#pinjol\n#stoppinjamanonline'
133,'@bjonbong Aya wae atuh bilih mah bade cobian heula pinjol wkwk'
134,'@AulF12 kamu emg idaman. duit kamu banyak di dompet
135,'Cara mudah daftar pinjol pake nama orang lain https://t.co/DdQA5ge1aA'
136,'Nipu lewat fb dan ngaku joki pinjol mungkin ada teman atau saudara \n#penipu#kotatangerang#Beritatangerang https://t.co/ty6jYMeXFs'
137,'Ada ada aja kelakuan netizen. Pake no olshop buat ngajuin pinjol💁🏻'
138,'Temen2 w yg udh keenakan pake kartu kredit dan pinjol demi lifestyle🙂 https://t.co/QEENqFiIL4'
139,'@MardaniAliSera Bang tanyakan soal data2 masyarakat yg bocor ? Kenapa masyarakat sering dpt sms dr pinjol dll. Terima kasih'
140,'@info_lingkungan Pinjol trosssss'
141,'Ga taw maluw senior iniii. Nyolot2 pas rapat
142,'Pihak DC bank BNI yang menteror keluarga
143,'seperti ini? Sekali lagi
144,'Dtengah new normal PINJOL pun beraksi😁😁\nSiapa yg pernah alami didatangi PINJAMAN ONLINE'
145,'@info_lingkungan Dah Kya pinjol dong :)'
146,'@phrinses @txtdrberseragam Mungkin masnya punya kerja sampingan Pinjol'
147,'@EenEnik Sekalian buka pinjol online ae mbak
148,'@bintangemon ngab bahas pinjol ngab haha'
149,'@ceeebbbbbbbbbbb Oke. Pap ktp mu ku paku utk pinjol ya..'
150,'Gak ada sopan sopannya ade gw
151,'bukanya aku gamau bantuin temen yaa
152,'@lantipsupratiko Pernah
153,'Pinjol bgst. Orang udah mati nagihnya gada adab.'
154,'@AREAJULID Pantesan dari kmrn gw dapet sms pinjol terus'
155,"'@nicaanicee Ini tanggal"" dimana pinjol sangat menggiurkan wkwk'"
156,'Halah pakboi pakboi pakboi. Rumah lu noh disamperin debcolector pinjol.'
157,'@agama_nusantara @AryaWBPinatih47 Orang yang banyak Hutang di Bank dan Pinjol tetap selamat dari Covid19  😜'
158,'Deskcoll pinjol nelponin mulu
159,'@Ikutikutanhehe @Asknonym Nah iya tp kan pinjol harus verifikasi pake foto langsung kita kaya ngadep kanan kiri atas bawah gitu'
160,'@hallomayooo @Asknonym Tiati a sekarang banyak kasus pinjol 5menit cair'
161,"'""dek orang kal*mulya ada yg bundir loh gara2 utang""\n""emang utangnya berapa?""\n""8 juta...""\n""yaa Allah"
162,'Oiya
163,'@pucha_f @Reno_kredivo @baguss_nanda Jgn deh bg reno arek iki lek pinjol langsung ditinggal dak @pucha_f'
164,'@wawat_kurniawan buat apa pke no hp segala jgn mau lah ksh no hp ntar d jual ke pinjol lagi'
165,'2 tahun lalu
166,'Buat apa ya?\nMau didaftarin di pinjol kali? 😅 https://t.co/ao1J83IXe0'
167,'@loupyouu Posthink
168,'@VIVAcoid Buat yg suka utang di pinjol hati2 klo john kei jadi dc nya 😅'
169,'@AREAJULID SPILL BOY!!! SPILLL.... MASA KALAH SAMA STAFF TUKANG TAGIH PINJOL!!!'
170,'@ikisuhe @AREAJULID hampir mirip sm aku nih. di telepon sm pihak pinjol kenal sm si ibu ini nggak. padahal ibunya dom di jabar
171,'@sagulftarius Ga nyaman babar blasss
172,'@asap_rocock Valid
173,'@discountfess Ngeri bgt nder :( aku ga pernah pake pinjol dan ngerasa benci bgt sama pinjol dgn sistem teror kontak darurat gitu. Semoga ada regulasi yg baik kedepannya'
174,"'Anjgg diserem bgt malem"" disms sama pinjol. Temen gua dicari orang 😂😂 https://t.co/XTldfZLcgS'"
175,'Pantesan suka ada bbrpa sms masuk dari pinjol https://t.co/nYouMtAcqx'
176,'@AlterEgoThingy ya bisa jadi
177,'@begadang___ lebih serem lg kalo nomor telp nya dijadiin buat yg enggak2. kayak dijadiin nomor pinjol
178,'@AREAJULID pantesan sering bgt dpt sms nawarin pinjol😤'
179,'@AREAJULID Tadi siang tau tau gue dihubungin orang gak dikenal
180,'Ini kementrian yg mau kasih akses data terbatas ke pinjol itu kan?? \nHabis bagi2 data bagi2 uang yeahh!!!\nCongrats!! https://t.co/141rnUDjOS'
181,'@moringews Hidup pinjol'
182,'@sourcandier serem pake banget
183,'@babyaloneeee @Gilsmlgdom @Nevermoreee___ @Dheeeevv @SecDheeaa Waduh
184,'yg bilang dilan idupny di blacklist pinjol https://t.co/S0GZz7Ahdr'
185,'@hiditaaa_ kalo aku lbh takut klo ktp km di jadiin pinjaman ke pinjol say. soal nya kya kasus ku kmrn pas hape ilang fto ktp dan fto di hape di jadiin buat minjol. coba tanya ke kelurahan solusinya gimana kalo data ktp mu di salah gunakan sm pihak ga bertanggung jawab'
186,'@alwifuad07 @hiditaaa_ @y0urskies jadiin kondar pinjol aja tuh nomer hahahaha'
187,'@AbdulMelii Yg telpon pinjol semuanya ya ka
188,'@UyokBack Bisa buat marketing pinjol nih'
189,"Nomorku dipake kontak darurat pinjol sama temen, kaga pake ijin. Pas jatuh tempo aku yang diuber suruh maksa temen bgst itu bayar utang. Aku khawatir kalo dia di cegat sama preman penagih utang, ku tanya 'kamu gapapa? Takut kamu di apa apain orang' https://t.co/kNgmcbN8MQ"
190,'@adilpap gak usah deh urungin niat nanti gak pada minjem di pinjol kamu di gebukin pegawai OJK'
191,'@ravifarizzz Untung teu di titah pinjol'
192,'Ketakutan yang mendalam ketika menerima SMS dari pinjol. https://t.co/y48r2pyKpY'
193,'@KetuaMajelis @K1ngPurw4 Bntr jg pinjol bakal dipuji-puji sm golongan ntu mah'
194,'Ciri2 orderan udah ga wajar
195,'@aduanBRTI selamat mlm .. pak tolong di tindak lanjuti pinjol yg sudah mengancam2 akan menyebarkan data2 dan akan mempermalukan saya 
196,'@paansistalk Aku bukan pinjol yhaaa~'
197,'@subtanyarl Buat pinjol'
198,'@subtanyarl Bisa jadi ktp lu dipake buat pinjol sama oknum
199,'@Vitakusuma Tandatangan kali ta
200,'@devuhska Kalo ada sms dari pinjol yg tiap hari masuk \nItu kerjaan siapa?\nAda yg bilang institusi resmi jual data\nApakah sedemikian rendah etiket institusi tersebut ?'
201,'@Risanuraini97 Aduh pinjol kayanya inimah ?'
202,'@rinto_yudha @Gatut_P Ga tau .. bingung jg gw.. jgn2 pinjol😂😂😂'
203,'@Lonng_OR @republikaonline @Saulia2311 @jokowi @Telkomsel @Telkomsel  kenapa byk banget sms pinjol msk k nmr gue?'
204,'tibe2 pinjol nelpon marah2 nangih2 duit pinjaman 
205,'Hadeh males banget kalo nomer w dicatut nomer pinjol begini'
206,'@jonathanend Jebakan pinjoL'
207,'@CNNIndonesia @kemendagri Banyak banget tawaran pinjaman online.. 😒 SMS masuk kebanyakan pinjol.  😑 Kalau nggak si undian palsu.. Penipuan... Poker... 🐈'
208,'@republikaonline @Saulia2311 @jokowi @Telkomsel koneksi lemot
209,'Trs yang bocorin data ke pinjol diapain enaknya? https://t.co/bXi8E5jfpu'
210,'@shaggyisback huft nyebelin jg yaa
211,'Buat apply pinjol wkwkw https://t.co/abmqr7WyIw'
212,'@jonathanend @ojkindonesia  pak ada pinjol pak.'
213,'@cooconutboy pinjol itu aph'
214,'@cooconutboy pinjol paan'
215,'Terpaksa pasang Call Blocklist biar gk ada panggilan random dri pinjol yg gue gak ada urusan sama sekali dengan pinjol bangsat'
216,'Emg temen bangsat yg nyantumin no gua sebagai kontak darurat pinjol
217,'@sscorppioo Emg pinjol beneran'
218,'3x gua ditelfonin pinjol
219,'@worksfess Awas ktp mu malah dibuat pinjaman online atas nama kamu dah banyak kasus kyk gitu. Pinjol syaratnya ada juga cuma ktp doang.'
220,'@devuhska Temen ku ngasih no hp Aku buat jadi penjamin di pinjol
221,'Direktorat Jenderal Kependudukan dan Pencatatan Sipil Kementerian Dalam Negeri atau Ditjen Dukcapil Kemendagri memberikan akses data kependudukan kepada sejumlah perusahaan yang memberi layanan pinjaman online (pinjol) dan leasing. \nhttps://t.co/dOGq2ATIrr\nvia @KompasTV'
222,'Sementara itu
223,'@TaufiqSobari Bagaimana bisa wakanda bisa benas korupsi
224,'@SINDOnews Data pinjol sekalian lelang ke forum  dunia..'
225,'@AmrinAruan @AlbaniSayf @Ridanulantary1 @VIVAcoid Duhh ngutang koq bangga. Apalagi cuma pinjol semua orang juga bisa kalo mau. Gilaaaaa gilaaa'
226,'Tiba-tiba ada notif pinjol nilainya gede :))) https://t.co/GHzFUUHoS0'
