,content
673,"'@kamalacempaka @sociogeeks_ Jadi jangan kaget kena bom sms pinjol.. negara ""tanpa"" beban ini merestui'"
674,'@chifauziah_ ini bukannya cuma buat perusahan yang kerjasama aja dan pembukaan data cuma untuk verifikasi dari data si pinjol? bukan kasih data baru dikasih ke pinjol.'
675,'Alasan menghindari fraud? lah memang kerawanan sistem pinjol d situ kan ya? bs dibilang sdh jd trheats dr perusahaan
676,'@TrinityTraveler Pantes dapat banyak sms spam pinjol akhir2 ini 🤯'
677,'Kemendagri Beri Akses Data ke Pinjol
678,'@subtanyarl Jangan peecaya gituan deh
679,'@ecosocrights Pinjol = Rentenir Digital'
680,"'@zarryhendrik -teman main kerumah-\n\n""Gw pusing banget nih"
681,'@CNNIndonesia Kurang asem...makanya sering dpt sms dari pinjol.....'
682,'@nauvalh Berkedok pinjol'
683,'Akses Data ke Pinjol
684,'@CNNIndonesia Oalah apa ada kaitanya sm ini? Tiap hr org nawari pinjol😂'
685,'@MalaVMala @RomzDd @kemendagri itu pinjol lintah darat apa buaya darat yaa..... sadis amat'
686,'@aresaradilla1 @jansen_jsp @kemendagri Di hp q juga numpuk dan tmbh bnyk per harinya sms masuk isi pinjol dan hadiah2 (modus penipuan jmn2 dulu)'
687,'Di berita ditulis hanya utk cocokkan data
688,'@collegemenfess Wadu kalo pinjol bukannya bunganya gede banget ya.. Secepatnya kamu harus lunasi. Jangan pinjol lagi. Untuk uang apa kamu ga ada tabungan? Atau penghasilan sampingan kaya olshop? Kalau ga ada iya jujur aja. Daripada kamu pinjol lagi itu tuh bahaya nder.'
689,'@collegemenfess Hutang tuh gabakal kerasa tau2 dah gede aja
690,'@collegemenfess Segera ngomong ke ortumu nder
691,'@collegemenfess Baca komen baru tau kalau pinjol tu pinjaman onlen. Nderr mending kamu jujur ke ortu
692,"@collegemenfess Aku gatau nder segimana kamu struggle nya, sampe kamu pinjol, berarti kamu udah bingung mau minjem ke siapa lagi. I've been there too nder. Mending komunikasikan ke orangtua ya nder. Cari kerjaan aja di online atau freelance. Semangat nder..."
693,'@collegemenfess maaf bgt
694,'@collegemenfess ASTAGA SENDER 😭😭😭 SUMPAH LU BERANI BANGET PINJOL.\nBURUAN GIH KASIH TAU ORTU LU. BUNGANYA GA MAIN MAIN LOH ITU 😭😭'
695,'@collegemenfess duh ngapain make pinjol si:('
696,'@collegemenfess pinjol itu pinjaman online? \ncoba bilang dulu ke ortu
697,'@collegemenfess Coba pas mood ortu km lg baik
698,'@collegemenfess Pinjol itu apa'
699,'@collegemenfess Nder
700,'@Atti_pr @sj_herry @Suara_Bawah @ra_usah Iya betul
701,'Barusan baca berita di line today berita ttg kemdagri memberikan akses data kependudukan buat perusahaan pinjol auto lemes nih dengkul'
702,'@ariyoga64 perusahaan pinjol aja dah bejibun 🙊'
703,'@afdhalsyah @PakatDayak Bukan bg
704,'Kemendagri Beri Akses Capil ke Leasing &amp; Pinjol
705,'@KRMTRoySuryo2 @DPR_RI bisak gag ya semua hal yang melanggar hukum
706,'@kemkominfo Gua komen nih min 
707,'@PresidenKopi Pantesan hampir tiap hari bnyk SMS masuk nawarin pinjol'
708,'Eramuslim: Waduh! Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjaman Online.\nhttps://t.co/vgVilfjxqH\n akses data dukcapil ke pinjol tindakan berbahaya krn big data tsb tdk ada 2%yg minjem duit. Hati2pa tito. @KemensetnegRI @Kemendagri_RI @jokowi\nmelalui @GoogleNews'
709,'@mas_bintang Kelihatannya sih yg diberikan akses hanya pinjol yg sudah memenuhi regulasi saja ya
710,'@MDED6791 @nasuhaalii @aye_ucup @DivHumas_Polri @kemkominfo Haha...aku yg GK pernah pinjol eh tiap hr dpt SMS tawaran pinjaman....malah pernah diancam disuruh bayar angsuran kredivo pdhal tahu aja gak...br stlh itu gugling eala...  .lintah darat online...'
711,'Menghindari Masalah
712,'@ayunewongkwang @nasuhaalii @aye_ucup @DivHumas_Polri @kemkominfo (((aman dan dilindungi))) \nDuobol kuro\nDulu pnh pinjol credit HP
713,'@taharuddin_id Sehari bisa dpt 5 sms pinjol...'
714,'@NowowoNowiwi Ke pinjol pula. Ya salam.'
715,@Waras4ever @CNNIndonesia @Reiza_Patters Tau sendiri lah Bo's pinjol itu siapa rata rata Mata sipit apalagi Yang ilegal Mata sipit GA bisa bahasa Indonesia visa nya pun visa  junjungan bukan visa kerja
716,'@Insan4diputra @Sir_Pranata @YantiErwien @CNNIndonesia Ok 
717,'@sj_herry @Suara_Bawah @ra_usah Verifikasi data itu seperti ini
718,'@ridwanhr Data nasabah juga rawan dipindahtangankan oleh mereka kepada para sales kartu kredit dan pinjol.'
719,"'Haloo @Sjaechu 😎 Selamat membaca!\n""Data penduduk yang dimiliki negara"
720,'@CNNIndonesia Wah gawat... swasta akses data pribadi.... gimana nih keamanan data prinadi. Apakah yakin yg diakses itu hanya nasabah pinjol?'
721,'@wu_lex Makanya bnyk sms pinjol masuk ke nomor pribadi🙈'
722,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/f6uXncBMBV \n\n#JahatSekaliMereka'
723,'@cecendet_manis @EtekewerNyengir Padah sudah jelas pinjol itu punya sipit......'
724,'@_yudhas @DisdukcapilBdg @PRFMnews @infobandung @infobdg @OdedMD Klo udh punya ktp
725,'@Ayunikkk gausah kaget kl tbtb ada debtcollector pinjol'
726,'@CyberSkuad @CNNIndonesia Kalau saya mau bagi2 data klrg ke perusahaan pinjol... dpt fee gak bang? ☺️☺️'
727,'@CNNIndonesia Bosen ga sih tiap hari nerima sms pinjol?! \nMulai ngaco nih alesannya DPR..'
728,'@RendraKB Wkwkwk. Ku mencari NIK Rendra dan sangat mudah sekali
729,'Selama ganti kartu
730,'Pinjol Akses e-KTP
731,'@CNNIndonesia Sedih bgt
732,'@wu_lex Lah pantesan
733,'Wah iya ini terobosan pak\nJadi perusahaan pinjol dan leasing tau mana yang butuh kredit atau yang sangat butuh https://t.co/78UjlrOacL'
734,'@CNNIndonesia Bank dan Asuransi udah lebih duluan dikasi akses pak.... sama2 utk keperluan proses utk verifikasi data calon nasabah. Kenapa baru ribut sekarang paa pinjol minta akses juga? Kalo ngga dikasi akses gimana coba caranya verifikasi data calon peminjam pinjol yg masuk? 🤔'
735,'@Sabd0_Palon Hahaha daftar pinjol wae luwih gampang seko tuku nomer kok
736,'Survei sendiri biasanya dipakai kalau kalian butuh informasi umum atau gambaran dari suatu variabel (tingkah laku users tertentu
737,'Pinjol Akses e-KTP
738,'Pemberian data pribadi mestinya atas psetujuan ybs. Boleh dikasih institusi lain kalau sudah urusan negara. Sejak kapan pinjol masuk urusan negara? \n\nIngat ya sekelas KPU
739,'https://t.co/Dhe9icWBRD Kurang ajar kalian apa hak kalian kasih data Kami ke Pinjol
740,'Ilmu hutang tidak diajarkan disekolah
741,'Oh sempat baca salah satu berita katanya data data kita diberikan (dapat di akses) kepada beberapa pinjol juga. Dan ya katanya untuk mempercepat verifikasi data bila daftar di pinjol pinjol tsb...........bila daftar loh...🙃🙃'
742,'@Suara_Bawah SLIK nya Bank om ku. PinjOl ga punya
743,'@CNNIndonesia Blokir aja
744,'@AltrImagination Yg gw pahami sih kalo baca beritanya
745,'@CNNIndonesia Punya hak apa pinjol itu hub kalian atas hutang temen kalian
746,'@CNNIndonesia Kalau pinjol itu hubungi kalian dg alasan temen kalian punya hutang dan belum bayar cicilan saran saya 1 kalau cuma SMS atau wa nggak usah di balas langsung blokir
747,'Ini negara lagi ngapa dah 😂\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/xSXGqBuKp2 #LINETODAY'
748,'kemdagri tyda sengaja memberi data penduduk ke perusahaan pinjol'
749,'@CNNIndonesia Astaghfirullahal....bayar berapa tuh ya pinjol
750,'Engga heran kalau banyak bencana
751,'@kemkominfo tolong fokusin tutup sms spam pinjol.\nsumpahhh itu nyampahhhhh bingitttt'
752,'Hati2
753,'@Suara_Bawah Dari sinikah asal usul spam sms tlp pinjol ?!?'
754,'@fifachazali Bukan akses keseluruhan data dukcapil. Tp cuma untuk verifikasi data yang perusahaan pinjol punya. Sesuai dengan prinsip KYC'
755,'Judulnya bikin faktanya jadi salah. Ga gitu ujang
756,"'ngeri bgt liat berita sekarang"" \n\nkalo data penduduk dijual ke pinjol...bisa2 tiba2 ada yg nagih..hmm..'"
757,'Hmm...siap siap terror sms pinjaman online dan tipu menipu nih
758,"'""Akupun di cap si pembawa sial"" emg pinjol bawa masalah jiir https://t.co/RjtVrpXLBn'"
759,'@CNNIndonesia Pinjaman online
760,'@CNNIndonesia Buset pantas aja srg sms masuk mempromosikan pinjol.'
761,'Nah ini...\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/QEeX4dQMli'
762,'Bahaya woi.... Pantesan pinjol makin merajalela... https://t.co/Zbj9YZnnty'
763,'@CNNIndonesia Intinya jangan ngutang ke pinjol! Kemanapun kita pergi
764,'@YannieTrue Wah...\nBs nuntut ini.\nShrs ny kemdagri melindungi data penduduk.\nItu kan rahasia negara. Kok d share k lembaga swasta
765,'@wu_lex Dijual ke pinjol ? 👀'
766,'Ya pantesann spam pinjol dan sebangsanya byk bgt https://t.co/U7oxkeKrL4'
767,'pinjol pinjaman online https://t.co/nq7xjKY6zL'
768,'Di negara kont0l
769,'Bukannya diberangus malah diberi akses...!!!\nWhat the FUCK!!!\n\nPinjol Bisa Akses Data Kependudukan
770,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol .\nApa itu tidak menjerumuskan rakyat namanya ? Bukankah Pinjol banuak yg bermasalah saat ini?\n\nMbok ya dimanfaatkan utk hal yg lbh berguna seperti negara Tetangga Malaysia . 🤦\u200d♂️\n\nhttps://t.co/O1T9F0frUh'
771,'@CNNIndonesia Makanya nomor gw seharian bisa puluhan Kali terima SMS dan wa Dari PinjOl'
772,'rekan2 sy sedang melakukan riset pinjaman online/pinjol
773,'semenjak berhenti pake syopipei leter
774,'@taharuddin_id @utuntauk Sueee....pantesan byk sms pinjol...\n😤😤'
775,'@utuntauk Kagaklah data elu dijual ke pinjol'
776,'@utuntauk Ganas itu
777,'PINJOL aja dpt akses.\nApalagi yg Ono..nooh.. \n\nMasih merasa Merdeka?\n#BonekaPerampokRakyat https://t.co/sG0OWWmPDV'
778,'@utuntauk Padahal data pribadi itu sifatnya sangat rahasia. Ini malah dibocorin ke pinjol. Udah mirip makelar data nasabah bank aja.'
779,'@Egismaulanaa Pinjol lin pak?'
780,'@CNNIndonesia Mon maap.. Sehat pak?? Emang ga tau kelakuan pinjol? Mikir!'
781,'@selahluler Ayang awas dipake buat pinjol sama @estehhangett'
782,"'@mediocrickey @loopholeacademy paten trademark kata menarik\ndari Bensu sampe ""react""-Finebros youtuber\nkata kylie"
783,'@CNNIndonesia Pinjol nambang duit'
784,'@hsetiawann @CNNIndonesia SMS tak terbaca 86
785,'@KompasTV @afofutofu awas aja tbtb tagihan utang melilit pdhl gapernah make pinjol'
786,'@04_PUTRA Kira2 bu sri sama pakde di tawarin pinjol juga nggak? Kan mereka lagi pada butuh duit?'
787,'@Kutilangandy_ Pantesan SMS pinjol makin banyak'
788,'Aku pernah jadi sasaran temenku yg minjem online ke pinjol
789,'SELAMAT DATAMU DIJUAL
790,'@aleedaisy @kemkominfo @Angelicadindaa @aduanBRTI Dari yang jual data
791,'@CNNIndonesia Ini sangat berbahaya sekali rezim ini ga bisa menajaga data diri rakyat d perjual belikan demi apa coba dah tau d no tlp itu ada no kk kan jd sangat membahayakan enak aja blg data msh aman dah jual belikan ke pihak pinjol dasar penghianat'
792,'@kemkominfo Soasikk lu jamet mending urusin sms spam ikan arwana sama pinjol'
793,'@w4nw4e bisa jd dari pinjol...'
794,'@CNNIndonesia Full sms masuk klo g pinjol ya jadi pemenang undian dgn hadiah ratusan juta🤣🤣🤣'
795,'Kenapa nga dibalik aza ya? Sistemnya pinjol yg ngeverify ke sistem kemdagri. lol\n\nhttps://t.co/Z9q4WVtIw9'
796,'@piokharisma Iyo pancen. Sing liane koyok awak2 dijarno mboh data pribadine diapakno karo pinjol kek. Nggapleki kok pancen.'
797,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol\nhttps://t.co/eHhlxd7kVB'
798,'Pantes aja anjing dpt sms pinjol https://t.co/ACw6h6k9MT'
799,'Ko orang bisa seneng ya dapet acc dari pinjol
800,'@kemkominfo Ini blokir spam sms pinjol gabisa?? Mau lapor juga ribet dan belum tentu terblokir spam nya
801,'ini kalo yg ga make pinjol segalamacem tp data pribadinya kena penyalahgunaan karena beginian tuh terus gimane? nrimo aje gitu
802,'All hail gov
803,'@CNNIndonesia Data itu kan privasi penduduk?!? Kok bisa diberikan ke pinjol?'
804,'@piokharisma Dulu pernah ikut seminar hukum tentang perlindungan data privasi. Negara g boleh sembarangan bocorin data penduduk ke pihak lain. Di Singapura bahkan udah ketat bgt tentang ini. Misal mau verifikasi data penduduk hrsnya pake lembaga yg kompeten disitu ga sih
805,'@CNNIndonesia Pantes pinjol ngirim sms mulu
806,'pantesan banyak spam pinjol di SMS
807,'Padahal pinjol ini masalah
808,'Kalian ada yg pernah di sms /telp debt collector pinjol tapi yg pinjem  uang itu temen kalian? Koq pihak debitur tau no kita ya? Padahal gak dijadikan referensi keluarga dekat. \nSelama ini gak pernah di respon sms/ telp dr DC.'
809,'Iya
810,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/h9wkbNHJJv'
811,'@mambobogibah Lhah itu pinjol apaan?? PerusahaanPala benjol kan ga mungkin 😭😭'
812,'Info dr Kompas dotcom Bahwa Kemendagri Menjual Data Kependudukan Rakyat kepada Pinjol alias pinjaman online segini Miskin kah indonesia sampai2 Data Kependudukan di perjual belikan \n#JokowiSilakanMundur \n#jokowigabecusurusnegara'
813,'@CNNIndonesia paanteeess isi sms gw
814,'Iklan produk yg paling bagus
815,'nah
816,'Sedih aku bacain komen2nya.\nPadahal kan klen kalo main medsos juga nyerahin data pribadi. Daftar shopeepay
817,'Min @kemendagri 
818,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/zVB8bkdYDs #LINETODAY'
819,'Kampreet amaatt data aing dijual
820,'@mambobogibah Perusahaan pinjol tu perusahaan penjual cimol??'
821,'@rizkysjahrizal Pinjol perusahaan apa?'
822,'ini sih keterlaluan yaaa pak/bu.\nApa jaminannya buat rakyat klo datanya gak disalah gunakan??!\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/9Vp5q9hTYj #LINETODAY'
823,'jual beli data pt.2\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/TOgd53vSxH'
824,'Jadi ini tuh semacam API
825,'HAH?\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/xwBwhylVM2 #LINETODAY'
826,'@CNNIndonesia @Reiza_Patters Pasti bayar lah tu pinjol utk dapat data'
827,'guys yg merasa pake pinjol di bawah ini dan merasa terancam tlg ksh ss ke sya akan sya lapor\n- durian runtuh\n- kredit berkah\n- wall in\n- bee azila\n- nagari mobile\n- mega primer\n- permata vip\n- happy tree\n- prokredit\n- uangone/pinjaman petir\n- grant rupiah'
828,'Kalo ga kamu kasi aku ke pinjol lho. https://t.co/8zjZMrWllJ'
829,'@CNNIndonesia Pantesan SMS pinjol makin banya tiap hari...bangke!'
830,'@CNNIndonesia Dimana letak kerahasiaan data? Percuma punya mendagri selevel pinjol'
831,'@CNNIndonesia Sebagai informasi
832,'@ImanSatriaputra Kagaa
833,'@CNNIndonesia Pantesan nomor gue sering dpt sms dari pinjol. Bgsd'
834,'Min
835,'Perbankan oke lah. Pinjol jangan laaaaaah... https://t.co/SofSAol3vJ'
836,'Ternyata
837,'@CNNIndonesia Owhhhh jadii kemdagri yang punyaa ulahhh selama ini
838,'@CNNIndonesia Pantesan iklan Pinjol sering mampir di SMS'
839,'@CNNIndonesia Pasti data2 penduduk dijual nih sm perush2 pinjol...gk mungkinlah klo gratis...penjabat mental k*r*...pdhl data itu kn rahasia...bs dituntut nih kememdagri...'
840,'Rata2 tuh kantor pinjol illegal dan kantor dc itu gak jadi 1 di karenakan kl jd 1 tuh ketangkap smua yda bangkrut tp mereka lebih pintar skr.. mereka pisah dan data konsumen sdh di tgn dc! musnahkan yg ilegal'
841,'@CNNIndonesia 1. lu kasih file nya\n2. pinjol terima\n3. pinjol bayar upeti\n\ngitu kan anjg?'
842,'Akses untuk verifikasi data BUKAN menyimpan data penduduk. Demikian katanya. \n\nKemendagri Beberkan Cara Pinjol Akses Data Penduduk https://t.co/qcuMqUKd9t'
843,'Kemendagri Beberkan Cara Pinjol Akses Data Penduduk https://t.co/qYkny0iLdk'
844,'Poseng..poseng.. ngerempon wong kejebak pinjol ae'
845,'Tapi kalau dibaca secara cermat berita ini. Yang dimaksud bukanlah pinjol sebetulnya. Melainkan fintech yang legal dan terdaftar di OJK.'
846,'Orang2 yg tutup lubang gali lubang pinjol kenapa sih. Kalo masi di angka yg mampu untuk dia bayar utang sih gapapa
847,'@CNNIndonesia Pantas tiap hari ad aja pinjol ngiklan.. Asuuu'
848,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/GuBTPxD5Rt'
849,'apa ini tidak melanggar hukum
850,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol \nhttps://t.co/JAp9zIba8N'
851,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/wBlsduM9xo  dengan sederet asumsi syarat. Investor asing siap suntik dana besar utk perusahaan PEMINJAMAN UANG ONLINE pinjol dimasa corona? Bagaimana menurut pak Ustad Tengku Zulkarnain @ustadtengkuzul?'
852,'😅\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol\nhttps://t.co/5QumB5NJpK'
853,'@CNNIndonesia @CNNIndonesia mungkin kalo di artikelnya ditulis juga bahwa data yang diberikan ini hanya sebatas akses data
854,'@CNNIndonesia Serius nih pak @jokowi ?\nHingga data rakyatmu di kasih ke pinjol?'
855,'Apa jaminannya kalau data nasabah tidak disalahgunakan?\n\nKemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/arpeGhHF3E'
856,'Kemdagri Beri Akses Data Penduduk ke Perusahaan Pinjol https://t.co/TYvWxCBChL'
857,'Sebenernya sih bebas mau main apa aja
858,'@collegemenfess Jan pinjol klo km gk yakin bisabtepat wakti ngembalikan. Terlalu beresiko. Malu2in ntar klo gk bs bayar'
859,'@collegemenfess Nderr jgn pinjol deh 
860,'@collegemenfess Saranku jangan pinjol deh nder
861,'@earbuds_V4 Nah iya itu dia sisi buruk dari pinjol. Jelas pertama data kita sudah di ambil beserta privasi kita. Itu bisa juga lho wa SMS sampai ke kerjaan dia. Biasanya nanti nomor di kontak2 kita di SMS sama pihak pinjol'
862,'lu pada enteng bgt share nomer wasaf sama tetegram. ga ngeri dijadiin nomer jaminan pinjol apa lo?'
863,'@Utatautha Tapikan gakboleh kasih bio ibu
864,'Wqh keren bgt. Emg bnr bgt 23 th itu diusia yg sedep2 gimana gt. Ada aja kejadian gak keduga yg bikin bahagia
865,'@mas_cah Setauku ini sebatas kroscek data tok
866,'@Makinoedin @unsrifess Duta pinjol'
867,'@panggilaku_cece Nek kepepet dan agak maksa isok di nggo pinjol
868,'@earbuds_V4 Temenku di Bekasi cerita sempet kabur gegara pinjol'
869,'@subtanyarl NDER CEPET ADUIN AJA KE BAPAKMU
870,'Pinjol emang lg pelit semua ya?'
871,'@earbuds_V4 kena pinjol ilegal itu
872,'@mochipawl Bahaya ini
873,"'Gw langsung nge gossip donk sama temen2 kantor ""ternyata ya jalan2 pake duit pinjol""\n\nBetapa julidnya gw🤣🤣🤣\n\nSoalnya bininya kalo pamer kebangetan😁🤭'"
874,'Pinjol ternyata beneran kejam ya\n\nPagi ini ditelp debt collector
875,'no ponsel aku di blokir
876,'@Chairunnisxa 13 ribu ya?\nCowoknya pasti yg biasa kirim spam sms pinjol
877,'isi iklan ig kenapa pinjol semua
878,'Pinjol Bisa Akses Data Kependudukan
879,'Tak hanya kepada pinjol
880,'@BNGPY Utang pinjol buat beli sepeda.. 😅😅😅'
881,'Gue gak pernah ngutang di pinjol tp jd gue yg kena getahnya! Siapa yg ngutang siapa yg ditelponin. Zzzz'
882,'- permisi mas
883,'@andrechrxi @anggarasetia Pinjol taek wkwk'
884,'@AnggreaniLia kayak pinjol aja
885,'Gadget buat call-2x an 🤣🤣🤣...\n\nAman dicari dari WA tp ngga aman ama Sms pinjol .. 🤔😎 https://t.co/azlXnHmxdN'
886,'@diksfa_aldi @proufeesor Lah lo pinjol di harry jga?'
887,'Heran kenapasih banyak bgt orang2 yg berani bgt dan bernyali besar minjem di pinjaman online. Apa tidak takut saat tidak bisa bayarnya? Ya Allah gua bayanginny aja serem apalagi orang yang ngutang ke pinjol'
888,'@bobiterbang Kui mergo go triger ben le duwe kui jelas menungso dan jelas. Data kui dinggo verikasi nang pemerintah ( wo jelas iki penduduk e ono datane ) valid orane.\n\nData pinjol dll ki le oleh yo seko wong2 le mbobol data2 situs sing kudu KYC syarat e. Seko croling sosmed yo iso dll'
889,'@TirtoID kalian gimana sih. bukanya bagus kan sms spam penipuan dan pinjol jadi sesuai datanya. nama alamat
890,'Gue kebayang aja si Ibu Dian udah foto KTPnya + selfie bawa KTPnya buat daftar pinjol atau apapun lah yg onlen onlen https://t.co/GmTO8cYqyx'
891,'@TirtoID Ya ga heran banyak cmz masuk dari no ga dikenal nawar2in pinjol
892,'@subtanyarl Kasih nomor wa ku
893,'@nadiaabdillah Jeleknya pinjol mereka nggak mau verifikasi data2 dari pemohon sih. Yang penting acc aja dapet nasabah.'
894,'@CeritaJilbob Ngewe buat bayar pinjol'
895,'@fadlydodun dikejar pinjol?'
896,'@TirtoID Berasa dijual sama pemerintah secara tidak langsung
897,'@galeshka Ini data kayaknya utk kroscek pengajuan pinjol
898,'nanti kalo dibikin grup sama pinjol kamu jadi adminnya ya.. https://t.co/2FiT0qDxgY'
899,'@Yolanddda_ KAMU KAMU lain AING TAPI SI ENI GOBLOG :((\nDari lulus SMA gapernah kontekan gapernah main TIBATIBA chat pinjem uang trs ga w kasih eh tetiba aing diteror beberapa pinjol
900,'@shitlicious ada yang lebih jahat dari friendzone. perkenalkan pinjol-zone'
901,'Temenku bgt ini. Gak ngomong² nulis nomer hpku buat pinjol sampe aku ditelponin DC. Temenku ini gak merasa bersalah pula
902,'@shitlicious Wahh sering banget nih saya mas
903,'@shitlicious 🤣 🤣 cukup di save aja kok
904,'@Berkarya_Info Pinjol aja bisa MinMon
905,'Kemarin
906,'@subtanyarl 11jt ilang? Kalau nominal gede ditaro direkening sih biasanya
907,"@nikenstya kasian temenmu ken :'\ncoba nonton gritte buka praktek yg ttg pinjol, nakutin"
908,'@nikenstya pinjol mesti'
909,'@subtanyarl jgn pinjol deh
910,'Yang ngutang siapa yang ditagih siapa. Ada ada aja pinjol.'
911,'@subtanyarl 11juta itu hilang kemana? Diambil orang atau kepake atau apa. Coba komunikasiiin sama anggota. Mau gimanapun kamu harus tanggung jawab sih. Ngomong jg ke ortu/ wali kamu yg masih tanggung jawab atas km. Pinjol bahaya resikonya gede jangan coba deketin'
912,'@YRadianto Itu jiwasraya yg lolos
913,'@AREAJULID Iya
914,'@K_DramaIndo Kaya akun pinjol wkwkwk'
915,'@HalillHF @ryandirachman admin pinjol itu nyuruh bayar cicilan'
916,'3 kali di-telp no gak dikenal &amp; pada cari Hajjah Zuliana karena no gw tercantum sebagai kontak darurat ...\n\nkenal aja enggak woy 😖\n\nsiapa lagi enih pake no gw sebagai no jaminan?? jangan-jangan pinjol lagi. dulu mah gw dikirimin SMS mulu
917,'@anita96__ Duh palaur ih
918,'@subtanyarl saran gue jangan ke pinjol
919,'@capruk_kehed Bank kok din
920,'@subtanyarl Jangan sampe pinjol ya nder. Udah banyak review negatifnya. Bunganya juga besar. Coba komunikasi kan dulu sama orang tua. Semoga ada solusi.'
921,'@subtanyarl Bilang aja ke orang tua. Jangan sekali-kali pinjam pinjol karena bunganya tinggi banget udah gitu nanti seluruh kontakmu dihubungin semua sama pinjol malunya.'
922,'@subtanyarl Jangan pinjol. Kamu bakal lebih kesulitan dikemudian hari'
923,'@subtanyarl Jgn pinjol mending crita ke ortu gpp dimarahin di awal tp nnti psti ada solusi
924,'@subtanyarl Kalo bisa jangan pinjol nder mending kerja aja yg gajinya lumayan(bkn jual diri) terus gadein laptopnya dulu atau apa yg bisa digadein
925,'Reposted from @PENYULUH_COOP Sobat KUKM perlu mewaspadai dengan maraknya Pinjaman Online (Pinjol) dan jangan sampai terjebak pinjol ilegal ya. Pastikan dulu legalitasnya. Meskipun mudah diperoleh tapi waspadai juga… https://t.co/ErtTYUUxmR'
926,'@subtanyarl mending km jujur ke organisasi dan ke org tua. tp km ttp ganti. minta keringanan nyicil. siapa tau ortu kmu mau bantu. karna ak jg bngung lg pandemi gini ngk kuliah
927,'@subtanyarl innalilahi 11 jutaaa banget:(
928,'@kepo_jepang kartu pelajar untuk pinjol'
929,'@subtanyarl Jgn pinjem online lahh gila bahaya pinjol sebanyak itu'
930,'@subtanyarl Mending coba omongin dulu nder sapa tau dapet jalan tengahnya. jgn coba2 pinjol pliss takutnya malah kelilit😭 semangat nder'
931,'@subtanyarl Ilang nya gimana? Knp bisa ilang? Menurut gue mending terbuka deh sm pengurus organisasi yg lain. Diskusi jg sama org tua biar di bantu cari solusi. Duit segitu gede
932,'@subtanyarl Jan pinjol nder bahayaaaa'
933,'@aldissatrio Itu pinjol kali tung'
934,'Anak hijraher kepepet gak bisa bayar pinjol harus baca ayat terpanjang ini
935,'instal pinjol sana sini https://t.co/9XfOcWLanI'
936,'@pondoxcina Ini mah gara2 pinjol.'
937,'@jellypastaa Wk..wk. Baru kemarin dapat sms
938,'@wigelwigell pinjol paan a'
939,'@boysekali Buat pinjol a?'
940,'@jogmfs sama kek kasus pinjol'
941,'@ndyusyel @rhmndaputraa suruh take down gih dari pada NIK-nya dibuat pinjol'
942,'@nenggusti terlalu itu namanya pinjol bodong sigana 😂😂'
943,'@hellopapaw @subtanyarl Bisa
944,"'""maaf kak ini dari pinjol apa aya ada aplikasinya? Boleh saya minta linknya"" nah si penipu nya blg ""dari paylist maaf gabisa kasih itu data perusahaan"" lah aneh gue makin emosi gue bilang  ""loh"
945,'Trs adek gue gaterima dong karna posisinya dia gangerasa minjem
946,'@chica90_ Ganti ganti nomer terus lu lagi kejar kejar pinjol lu'
947,'Ada kejadian lucu malem ini
948,'keuntungan menjadi rang misqueen pas2an adalah tidak tercantol teman2 yg pake pinjol'
949,'@gentarim Kak mau nanya
950,'@jakartaakeras Habis itu dikejar debt collector karna pinjol nunggak'
951,'@greyzzzily Udah ke pinjol Inseong'
952,'Covid19 plis sebarin virus dikantor pinjol😧'
953,'@cheesumac Pasti buat pinjol.'
954,'@partner4sex Pinjol pasti ngasih kok
955,'@adityabagusK Pinjol saiki angel soale seng susah sak dunia🙏🏿'
956,'pinjol lur https://t.co/QhITMxlJ7m'
957,'Gamalu apa ya. Udah jd benalu
958,'@nenggusti kejadian jg di kantorku mbk.Pinjol itu otomatis ambil kontak di HP pemohon
959,'jika kita terjerat pinjol dan minta keringanan pembayaran bisa apa tidak???@LBH_Jakarta @LBHBandung ?'
960,'@nenggusti Cuekin aja. Kalau perlu dimaki aja yang nagih. Itu memang kelakuan pinjol
961,'@azacky28 pernanya pinjol gitu wkwk'
